"","Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Class"
"1696",44515,"757,601","265,5904698","213,9674526","1,241265747","0,592420038",44780,"238,0719604","0,771744595","0,99408218","0,97461965","0,896387437","0,005966314","0,002376123","0,803510437","0,997369982","F"
"11714",31464,"666,041","240,9890351","166,7300862","1,445384217","0,722034012",31930,"200,1529641","0,744886364","0,985405575","0,891295818","0,830548012","0,007659199","0,002248133","0,689810001","0,997040488","D"
"429",35923,"684,665","229,9818299","199,1153587","1,155018033","0,500412098",36239,"213,8658088","0,771012191","0,991280113","0,962999824","0,929924807","0,006402077","0,002953194","0,864760147","0,998813564","F"
"1406",41768,"734,841","248,2119894","214,3446965","1,158003876","0,504254715",42091,"230,6093435","0,782875993","0,99232615","0,972001164","0,929082209","0,005942635","0,002731338","0,863193752","0,99958171","F"
"5176",82870,"1105,912","425,5896073","249,6607178","1,704671889","0,809860034",84088,"324,8282024","0,761896881","0,985515175","0,851463551","0,763242797","0,005135629","0,001075039","0,582539568","0,993038825","C"
"7228",62583,"987,82","399,2316893","200,6221227","1,989968424","0,864565272",63322,"282,2820406","0,810534632","0,988329491","0,805954662","0,707063212","0,006379235","0,000983516","0,499938386","0,994861601","E"
"496",36340,"683,845","235,8061234","196,7621482","1,198432349","0,551123927",36609,"215,1035217","0,803271441","0,99265208","0,976516161","0,912204987","0,006488886","0,002771531","0,832117938","0,997237055","F"
"2449",65170,"978,084","380,2564555","220,0316841","1,728189543","0,815582908",66112,"288,0573226","0,701386198","0,985751452","0,856062111","0,757534339","0,005834839","0,001185272","0,573858275","0,991735869","A"
"4152",67293,"1019,205","399,0583156","215,6830818","1,850206851","0,841356792",68181,"292,7116477","0,718842468","0,986975844","0,814060464","0,733505947","0,005930161","0,001058914","0,538030974","0,995468595","C"
"5409",91623,"1161,167","448,3283348","262,9726651","1,704847668","0,809903843",93063,"341,5523778","0,727368714","0,984526611","0,853935369","0,761835359","0,004893185","0,001016754","0,580393114","0,989481847","C"
"5113",81614,"1097,739","428,14004","243,8713866","1,755597678","0,821917476",82452,"322,3572121","0,787901606","0,989836511","0,85109167","0,752924702","0,005245914","0,001039937","0,566895607","0,995240611","C"
"4892",77528,"1071,144","411,6679082","243,9627698","1,68742103","0,805481936",79378,"314,1842062","0,769554514","0,976693794","0,849127147","0,763198199","0,005309926","0,001111265","0,582471491","0,982874644","C"
"145",33794,"665,826","218,999894","196,5777218","1,114062631","0,440779117",34127,"207,4315723","0,77773175","0,99024233","0,957917183","0,947176588","0,006480437","0,003217421","0,897143488","0,999474035","F"
"257",34841,"675,857","231,9569641","191,6112724","1,210560116","0,563576479",35137,"210,620367","0,789079132","0,991575832","0,958497188","0,908014846","0,006657586","0,002791698","0,82449096","0,998095872","F"
"9496",48329,"840,97","313,5422659","197,2644009","1,589451845","0,777285758",49122,"248,0612706","0,71465117","0,98385652","0,858730061","0,791157358","0,006487663","0,001567904","0,625929965","0,994885537","G"
"7425",74456,"1085,466","447,6659723","212,3823275","2,107830617","0,880297855",75096,"307,8966118","0,788820731","0,991477575","0,79410351","0,687782031","0,00601249","0,000829922","0,473044123","0,997096884","E"
"1047",39334,"714,221","241,0411743","208,2253658","1,157597555","0,503735267",39735,"223,789196","0,801295632","0,989908141","0,968975389","0,928427256","0,006128062","0,002808629","0,861977169","0,997822664","F"
"12346",33893,"684,724","256,8237784","168,3600166","1,525444007","0,755154514",34269,"207,7351869","0,707209181","0,989027984","0,908424367","0,808862747","0,007577487","0,002000803","0,654258944","0,998035385","D"
"826",38218,"715,604","248,5088987","196,2365437","1,266374214","0,613549832",38565,"220,5916338","0,76436","0,991002204","0,937847664","0,887660905","0,006502405","0,002490245","0,787941882","0,997829281","F"
"13119",37809,"730,232","267,8432046","180,3682622","1,484979682","0,739269318",38291,"219,4080991","0,791099115","0,987412186","0,89101155","0,819166196","0,007084112","0,001967675","0,671033257","0,996470753","D"
"10345",25617,"619,412","243,7947675","134,4487057","1,813292038","0,834186033",25959,"180,6006019","0,699459371","0,986825378","0,83903273","0,740789492","0,009516913","0,00176789","0,548769071","0,995078587","D"
"10805",27903,"626,565","236,0763095","151,0462383","1,562940674","0,768525173",28254,"188,4866123","0,800292549","0,98757698","0,893158427","0,798413923","0,008460607","0,002120771","0,637464792","0,996319651","D"
"12858",36226,"696,319","253,7819798","182,085373","1,393752697","0,696571482",36566,"214,7658626","0,755652899","0,990701745","0,938887929","0,846261278","0,00700552","0,002216348","0,716158151","0,998147355","D"
"10724",27573,"626,948","236,7108832","148,5788784","1,593166443","0,778470811",27937,"187,3687113","0,688155136","0,986970684","0,881517305","0,791550894","0,00858488","0,00207888","0,626552818","0,998202925","D"
"689",37482,"705,803","244,497488","195,3803884","1,251392169","0,601184833",37878,"218,4572375","0,777634855","0,989545383","0,945508898","0,893494814","0,006523064","0,002564481","0,798332982","0,999027642","F"
"1570",43231,"750,007","263,9812639","208,7413776","1,26463314","0,612148072",43567,"234,6133388","0,786490076","0,992287741","0,965771782","0,888749964","0,006106296","0,002350044","0,789876499","0,998903997","F"
"9792",50557,"848,686","331,7712245","195,2330265","1,699360146","0,808528675",51115,"253,7147447","0,775854396","0,989083439","0,882057878","0,764727999","0,00656232","0,001384411","0,584808913","0,993800959","G"
"3512",160641,"1514,903","544,8924394","376,7901627","1,446142955","0,722381659",161945,"452,2548769","0,778638941","0,991947884","0,879623071","0,829989268","0,003391989","0,000992942","0,688882185","0,996222119","B"
"8559",43728,"784,141","287,4418993","194,8553993","1,475154912","0,735158824",44259,"235,958087","0,832248487","0,98800244","0,893678179","0,820889674","0,006573406","0,001841236","0,673859857","0,994047678","G"
"10307",25319,"590,337","220,5364099","146,8189422","1,502097799","0,746187706",25664,"179,5470747","0,711847728","0,986557045","0,912969786","0,814138014","0,008710313","0,002360509","0,662820705","0,995621523","D"
"5628",42002,"785,556","303,6558341","177,2014376","1,713619473","0,812069933",42673,"231,2544213","0,664042244","0,984275772","0,855313909","0,761567522","0,007229557","0,001500117","0,579985091","0,993873747","E"
"7956",40901,"753,065","278,6887535","187,6094912","1,485472572","0,739472792",41488,"228,2033537","0,799847466","0,985851331","0,906314365","0,818846655","0,006813739","0,001889625","0,670509845","0,996023984","G"
"10983",28687,"633,471","241,8785239","151,3485535","1,598155504","0,78004667",29030,"191,1162547","0,737834362","0,988184637","0,898341622","0,790133211","0,008431642","0,002027184","0,624310491","0,997745248","D"
"2382",63653,"1016,303","355,1371706","228,6444147","1,553229153","0,765176974",64755,"284,6849429","0,716667793","0,982982009","0,774430281","0,801619674","0,005579268","0,001421119","0,642594102","0,998095893","A"
"5142",82095,"1114,935","434,2286666","241,7090409","1,796493275","0,830753827",82787,"323,3057383","0,68049569","0,9916412","0,829903265","0,744551807","0,005289344","0,001002677","0,554357393","0,995899329","C"
"3602",170889,"1600,63","595,7016209","368,6053095","1,616096148","0,785568214",173595,"466,4575356","0,819564342","0,984411993","0,838189213","0,783038889","0,003485898","0,000808403","0,613149902","0,990909195","B"
"4660",74477,"1079,628","418,1523539","230,7735812","1,811959375","0,833917744",76573,"307,9400292","0,768120875","0,972627427","0,802941232","0,736430218","0,005614517","0,001018635","0,542329466","0,98267896","C"
"8842",44983,"797,634","301,9191017","190,7347747","1,582926355","0,775179265",45396,"239,3201505","0,73501634","0,990902282","0,888486767","0,792663164","0,006711849","0,001634469","0,628314892","0,994576202","G"
"11970",32406,"675,291","259,8476025","159,14108","1,632812864","0,790517033",32736,"203,1270555","0,807485299","0,989919355","0,893003926","0,781716104","0,008018503","0,00184701","0,611080068","0,997779395","D"
"5311",86715,"1120,93","432,8499808","257,0624601","1,68383194","0,80455105",87738,"332,2784482","0,798260149","0,988340286","0,867255589","0,767652681","0,004991639","0,001069257","0,589290638","0,992266399","C"
"2452",65235,"1017,685","329,6995393","253,3145195","1,301542209","0,640066756",66266,"288,2009398","0,752786817","0,984441493","0,791523446","0,874132067","0,005054028","0,001820227","0,764106871","0,994517344","A"
"12793",35907,"709,057","264,9808393","173,1489709","1,530363351","0,756978667",36296,"213,8181759","0,696601094","0,989282566","0,897483944","0,806919385","0,007379643","0,001929904","0,651118894","0,996448492","D"
"9495",48327,"837,928","313,5705305","196,7840611","1,593475248","0,778568874",48960,"248,0561378","0,68915508","0,987071078","0,864940622","0,791069675","0,006488516","0,001567415","0,625791231","0,997182837","G"
"2043",47149,"857,69","300,2878932","200,3199142","1,499041643","0,74497456",48091,"245,0142267","0,720767408","0,980412135","0,805418604","0,815931086","0,006368913","0,001741242","0,665743536","0,997977284","A"
"6285",52150,"912,208","378,8536482","175,5253317","2,158398702","0,886198144",52747,"257,6808923","0,609364228","0,988681821","0,787546895","0,680159459","0,007264691","0,000959047","0,462616889","0,998511693","E"
"5085",81169,"1095,175","430,5853201","240,9814743","1,786798431","0,828722173",81866,"321,4771852","0,800001971","0,991486087","0,850419122","0,746605075","0,0053048","0,001016746","0,557419138","0,995995641","C"
"765",37951,"699,222","240,5254647","201,1487946","1,195758916","0,548288928",38269,"219,8197306","0,775729207","0,991690402","0,975445298","0,913914587","0,00633779","0,002727345","0,835239872","0,998745524","F"
"6567",54580,"930,831","358,0532474","195,8553386","1,828151583","0,837132219",55389,"263,6160358","0,615721312","0,985394212","0,791592587","0,736248136","0,006560155","0,001189024","0,542061317","0,990970255","E"
"8841",44981,"793,944","300,356711","191,1200738","1,57156025","0,771433199",45504,"239,3148302","0,796772594","0,988506505","0,896724898","0,796768714","0,006677413","0,001660034","0,634840383","0,997689911","G"
"953",38866,"727,944","250,8229574","197,6335925","1,269131195","0,615751253",39268,"222,4538787","0,754914148","0,989762657","0,921687651","0,886896004","0,006453532","0,00246302","0,786584522","0,998278955","F"
"9134",46333,"813,226","309,3905459","192,3269846","1,608669457","0,783309629",46766,"242,8847624","0,701175865","0,990741137","0,88039542","0,785042613","0,006677542","0,001564477","0,616291904","0,991409962","G"
"2129",55607,"898,497","311,4197591","228,7198652","1,361577224","0,678671061",56424,"266,084632","0,75650636","0,985520346","0,865577715","0,854424371","0,00560037","0,001841158","0,730041006","0,994007207","A"
"846",38333,"718,19","237,9449273","205,4905757","1,157935962","0,504167967",38776,"220,9232705","0,78515833","0,988575407","0,93390772","0,92846388","0,006207313","0,002845401","0,862045177","0,998193111","F"
"709",37580,"703,04","243,4936116","196,7097492","1,237831946","0,589368801",37934,"218,7426389","0,798894558","0,990668002","0,95544693","0,898350628","0,00647934","0,002603119","0,807033851","0,998972282","F"
"4328",70006,"1013,071","387,8711935","230,873465","1,680016339","0,803553671",70848,"298,5538604","0,777326227","0,988115402","0,857166838","0,769724242","0,005540542","0,0011997","0,592475409","0,995368367","C"
"7484",35827,"703,778","269,6084179","169,4919236","1,590685928","0,777680584",36164,"213,579852","0,740349645","0,990681341","0,908968712","0,792185399","0,007525286","0,001828143","0,627557706","0,998247212","G"
"7931",40693,"770,418","290,2484929","179,2307203","1,619412634","0,786564725",41174,"227,6223557","0,689887259","0,988317871","0,861542548","0,784232688","0,007132639","0,001664216","0,615020908","0,995972629","G"
"2301",61570,"1001,035","372,7920342","211,1471681","1,765555454","0,824134605",62673,"279,9881404","0,744354176","0,982400715","0,772112339","0,751057197","0,006054767","0,001188418","0,564086914","0,995926727","A"
"2749",70664,"1028,213","391,8333258","229,8707572","1,704581002","0,809837377",71445,"299,9536617","0,701560701","0,989068514","0,839927693","0,765513401","0,00554502","0,001174611","0,586010767","0,99890282","A"
"9464",48161,"826,049","314,0014615","196,1708863","1,600652714","0,780828735",48722,"247,6297432","0,796708023","0,988485694","0,886938976","0,788626085","0,006519829","0,001555609","0,621931102","0,995495705","G"
"3793",198671,"1686,769","623,2703818","410,10045","1,519799312","0,753033996",201134,"502,9470883","0,792427167","0,987754432","0,877471703","0,806948482","0,003137199","0,00082055","0,651165852","0,989641414","B"
"5162",82638,"1117,383","451,4290441","235,63571","1,915792152","0,852959381",83632,"324,3731948","0,804239292","0,988114597","0,831736083","0,718547464","0,00546273","0,000898279","0,516310458","0,989143524","C"
"10906",28331,"622,193","234,1920111","154,653152","1,514304804","0,750941236",28593,"189,9266952","0,747362034","0,990836918","0,91964778","0,81098708","0,008266281","0,002205696","0,657700043","0,995958336","D"
